description,category
Evidence shows the sub-registrar deliberately delayed processing a passport application to harass the applicant at Ward 5.,Official Misconduct
"I would like to commend a contractor at the central branch for helpful service, but also note a small issue with wait times.",Other
Relief funds meant for flood victims near Block A were misappropriated by staff in the Income Tax Office.,Corruption
"I would like to commend a officer at the central branch for helpful service, but also note a small issue with wait times.",Other
An audit revealed the Transport Department inflated contractor bills at the northern zone office to siphon off public money.,Corruption
"The Public Works Department facility at the northern zone office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
I want to report general dissatisfaction with the way the Police Department handled my visit to the regional headquarters.,Other
Drinking water supplied by the Sanitation Department near the northern zone office has tested positive for contamination for months.,Unsafe Public Service
"The surveyor took Rs. 25,000 from me and only then stamped my pension file at the Sanitation Department.",Bribery
"The Municipal Corporation awarded a tender to a shell company linked to a administrator, with kickbacks reported at the rural health center.",Corruption
"The Police Department awarded a tender to a shell company linked to a tehsildar, with kickbacks reported at the rural health center.",Corruption
"Ghost employees were found on the payroll of the Housing Board at the taluk office, with salaries pocketed by a sub-registrar.",Corruption
An audit revealed the Customs Department inflated contractor bills at the central branch to siphon off public money.,Corruption
"Ghost employees were found on the payroll of the Police Department at the district office, with salaries pocketed by a director.",Corruption
"The Water Supply Board facility at Ward 5 has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
Funds allocated for a public project at the municipal complex were diverted by officials in the Water Supply Board for personal use.,Corruption
"The Transport Department awarded a tender to a shell company linked to a manager, with kickbacks reported at the regional headquarters.",Corruption
I am unsure which department is responsible for an issue I noticed near the regional headquarters.,Other
The Revenue Department repeatedly misses statutory deadlines for pension file processing across the northern zone office with no explanation.,Governance Issue
There is no functioning grievance redress system at the Land Records Office office in the regional headquarters.,Governance Issue
Records requested under the Right to Information Act from the Rural Development Office at Ward 5 were never provided.,Governance Issue
The Health Department has failed to publish its annual budget or spending records for the taluk office as legally required.,Governance Issue
"A commissioner in the Transport Department refused to process my file unless I paid Rs. 10,000 under the table.",Bribery
Drinking water supplied by the Revenue Department near the northern zone office has tested positive for contamination for months.,Unsafe Public Service
"To get my land title cleared at the Income Tax Office, the officer openly asked for a 'facilitation fee' of Rs. 1,00,000.",Bribery
Evidence shows the clerk deliberately delayed processing a business license to harass the applicant at Sector 12.,Official Misconduct
The Rural Development Office repeatedly misses statutory deadlines for birth certificate processing across Sector 12 with no explanation.,Governance Issue
Evidence shows the sub-registrar deliberately delayed processing a driving license to harass the applicant at the central branch.,Official Misconduct
The Health Department has failed to publish its annual budget or spending records for Block A as legally required.,Governance Issue
Decisions at the Health Department regarding Ward 5 are made without any public consultation or transparency.,Governance Issue
There is no functioning grievance redress system at the Education Department office in the central branch.,Governance Issue
"The Land Records Office facility at Ward 5 has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
There is no functioning grievance redress system at the Health Department office in Ward 5.,Governance Issue
This is a suggestion for improving queue management at the Customs Department office in the district office.,Other
"A engineer in the Sanitation Department refused to process my file unless I paid Rs. 50,000 under the table.",Bribery
There is no functioning grievance redress system at the Transport Department office in the municipal complex.,Governance Issue
An audit revealed the Rural Development Office inflated contractor bills at the municipal complex to siphon off public money.,Corruption
This report concerns a procedural question about the Electricity Board rather than a specific violation.,Other
"Construction at Block A overseen by the Land Records Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Decisions at the Customs Department regarding the district office are made without any public consultation or transparency.,Governance Issue
The administrator at Ward 5 threatened a citizen for filing a complaint against the Police Department.,Official Misconduct
This is a suggestion for improving queue management at the Sanitation Department office in the central branch.,Other
"The commissioner at the rural health center hinted that my building permit would be stuck for months unless I gave him Rs. 5,000.",Bribery
"I was asked to pay a bribe of Rs. 25,000 to the manager to speed up my driving license application at the taluk office.",Bribery
Filing this report to flag a minor administrative error in my driving license at the Municipal Corporation.,Other
"Ghost employees were found on the payroll of the Education Department at the rural health center, with salaries pocketed by a sub-registrar.",Corruption
"I was asked to pay a bribe of Rs. 50,000 to the sub-registrar to speed up my business license application at the district office.",Bribery
Records requested under the Right to Information Act from the Income Tax Office at the northern zone office were never provided.,Governance Issue
The surveyor at the Land Records Office misused their position to favor a relative during land title approval at the central branch.,Official Misconduct
Relief funds meant for flood victims near Ward 5 were misappropriated by staff in the Housing Board.,Corruption
This is a suggestion for improving queue management at the Electricity Board office in Ward 5.,Other
Drinking water supplied by the Health Department near Sector 12 has tested positive for contamination for months.,Unsafe Public Service
"Patients at the government hospital in the district office are being treated in unsanitary, overcrowded wards run by the Water Supply Board.",Unsafe Public Service
The sub-registrar abused their authority by forcing subordinates at the northern zone office to falsify inspection reports.,Official Misconduct
"The sub-registrar at the Customs Department demanded Rs. 10,000 in cash before approving my passport application.",Bribery
"Construction at the northern zone office overseen by the Revenue Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Relief funds meant for flood victims near Sector 12 were misappropriated by staff in the Electricity Board.,Corruption
"Construction at the taluk office overseen by the Electricity Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"Construction at the district office overseen by the Land Records Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"Patients at the government hospital in Ward 5 are being treated in unsanitary, overcrowded wards run by the Public Works Department.",Unsafe Public Service
Funds allocated for a public project at the rural health center were diverted by officials in the Customs Department for personal use.,Corruption
"Patients at the government hospital in the taluk office are being treated in unsanitary, overcrowded wards run by the Revenue Department.",Unsafe Public Service
The supervisor at the Health Department has not held a single accountability meeting with residents of Block A in over a year.,Governance Issue
"I would like to commend a surveyor at the municipal complex for helpful service, but also note a small issue with wait times.",Other
"The surveyor at the Customs Department demanded Rs. 25,000 in cash before approving my driving license.",Bribery
The contractor at the Land Records Office misused their position to favor a relative during pension file approval at the regional headquarters.,Official Misconduct
I want to report general dissatisfaction with the way the Water Supply Board handled my visit to Block A.,Other
The Transport Department has failed to publish its annual budget or spending records for the municipal complex as legally required.,Governance Issue
The Revenue Department has failed to publish its annual budget or spending records for the municipal complex as legally required.,Governance Issue
Drinking water supplied by the Housing Board near the municipal complex has tested positive for contamination for months.,Unsafe Public Service
The clerk abused their authority by forcing subordinates at the northern zone office to falsify inspection reports.,Official Misconduct
"The supervisor at the municipal complex hinted that my property registration would be stuck for months unless I gave him Rs. 10,000.",Bribery
The director at the Electricity Board has not held a single accountability meeting with residents of the rural health center in over a year.,Governance Issue
"The sub-registrar took Rs. 1,00,000 from me and only then stamped my pension file at the Public Works Department.",Bribery
A manager in the Education Department was found altering official records related to a tender document without authorization.,Official Misconduct
"I would like to commend a constable at the district office for helpful service, but also note a small issue with wait times.",Other
